iter	Passed	Remaining
0	0	256
1	0	227
2	1	228
3	2	243
4	2	263
5	3	256
6	3	253
7	4	251
8	4	243
9	5	237
10	5	236
11	6	233
12	6	232
13	7	230
14	7	225
15	7	223
16	8	223
17	8	221
18	9	220
19	9	216
20	9	214
21	10	211
22	10	209
23	11	213
24	11	212
25	12	210
26	12	208
27	12	205
28	13	203
29	13	200
30	13	198
31	14	196
32	14	194
33	14	192
34	15	190
35	15	189
36	15	187
37	16	185
38	16	183
39	16	182
40	17	180
41	17	180
42	17	179
43	18	177
44	18	176
45	19	176
46	19	175
47	19	174
48	19	173
49	20	172
50	20	171
51	20	169
52	21	168
53	21	167
54	21	166
55	22	165
56	22	164
57	22	162
58	22	161
59	23	160
60	23	159
61	23	158
62	24	158
63	24	157
64	25	157
65	25	156
66	25	155
67	25	154
68	26	153
69	26	153
70	26	152
71	27	151
72	27	150
73	27	149
74	27	148
75	28	147
76	28	146
77	28	146
78	29	145
79	29	144
80	29	143
81	29	142
82	30	142
83	30	141
84	30	140
85	31	139
86	31	139
87	31	138
88	31	137
89	32	137
90	32	136
91	32	135
92	32	135
93	33	134
94	33	133
95	33	132
96	34	132
97	34	132
98	34	131
99	35	131
100	35	130
101	35	129
102	35	129
103	36	128
104	36	127
105	36	127
106	36	126
107	37	126
108	37	125
109	37	124
110	38	124
111	38	123
112	38	123
113	38	122
114	39	122
115	39	121
116	39	120
117	39	120
118	40	119
119	40	119
120	40	118
121	40	118
122	41	117
123	41	117
124	41	116
125	42	116
126	42	115
127	42	115
128	42	114
129	43	114
130	43	113
131	43	112
132	43	112
133	44	112
134	44	111
135	44	111
136	45	110
137	45	110
138	45	109
139	45	109
140	46	108
141	46	108
142	46	107
143	46	107
144	47	106
145	47	106
146	47	106
147	47	105
148	48	105
149	48	104
150	48	104
151	49	103
152	49	103
153	49	102
154	49	102
155	50	101
156	50	101
157	50	101
158	50	100
159	51	100
160	51	100
161	51	99
162	52	99
163	52	99
164	52	98
165	52	98
166	53	97
167	53	97
168	53	96
169	53	96
170	54	96
171	54	95
172	54	95
173	54	94
174	55	94
175	55	93
176	55	93
177	55	93
178	56	92
179	56	92
180	56	91
181	57	91
182	57	91
183	57	90
184	57	90
185	58	89
186	58	89
187	58	89
188	58	88
189	59	88
190	59	87
191	59	87
192	60	87
193	60	87
194	60	86
195	60	86
196	61	85
197	61	85
198	61	85
199	61	84
200	62	84
201	62	83
202	62	83
203	62	83
204	63	82
205	63	82
206	63	82
207	63	81
208	64	81
209	64	80
210	64	80
211	64	80
212	65	79
213	65	79
214	65	78
215	65	78
216	66	78
217	66	77
218	66	77
219	66	77
220	67	76
221	67	76
222	67	76
223	67	75
224	68	75
225	68	74
226	68	74
227	68	74
228	69	73
229	69	73
230	69	73
231	69	72
232	70	72
233	70	72
234	70	71
235	70	71
236	71	71
237	71	70
238	71	70
239	71	70
240	72	69
241	72	69
242	72	69
243	73	68
244	73	68
245	73	68
246	73	67
247	74	67
248	74	67
249	74	66
250	74	66
251	75	66
252	75	65
253	75	65
254	75	65
255	76	64
256	76	64
257	76	64
258	76	63
259	77	63
260	77	63
261	77	62
262	77	62
263	78	62
264	78	61
265	78	61
266	78	61
267	79	60
268	79	60
269	79	60
270	79	59
271	80	59
272	80	59
273	80	58
274	80	58
275	81	58
276	81	57
277	81	57
278	81	57
279	82	56
280	82	56
281	82	56
282	82	55
283	83	55
284	83	55
285	83	54
286	83	54
287	84	54
288	84	54
289	84	53
290	84	53
291	85	53
292	85	52
293	85	52
294	85	52
295	86	51
296	86	51
297	86	51
298	86	50
299	87	50
300	87	50
301	87	49
302	87	49
303	88	49
304	88	48
305	88	48
306	88	48
307	89	48
308	89	47
309	89	47
310	89	47
311	90	46
312	90	46
313	90	46
314	90	45
315	91	45
316	91	45
317	91	44
318	91	44
319	92	44
320	92	44
321	93	43
322	93	43
323	93	43
324	93	43
325	94	42
326	94	42
327	94	42
328	94	41
329	95	41
330	95	41
331	95	40
332	95	40
333	96	40
334	96	39
335	96	39
336	96	39
337	97	39
338	97	38
339	97	38
340	97	38
341	98	37
342	98	37
343	98	37
344	98	36
345	99	36
346	99	36
347	99	36
348	100	35
349	100	35
350	100	35
351	100	34
352	101	34
353	101	34
354	101	34
355	101	33
356	102	33
357	102	33
358	102	32
359	102	32
360	103	32
361	103	31
362	103	31
363	103	31
364	104	31
365	104	30
366	104	30
367	104	30
368	105	29
369	105	29
370	105	29
371	105	29
372	106	28
373	106	28
374	106	28
375	106	27
376	107	27
377	107	27
378	107	26
379	107	26
380	108	26
381	108	26
382	108	25
383	108	25
384	109	25
385	109	24
386	109	24
387	109	24
388	110	24
389	110	23
390	110	23
391	111	23
392	111	22
393	111	22
394	111	22
395	112	22
396	112	21
397	112	21
398	112	21
399	113	20
400	113	20
401	113	20
402	113	20
403	114	19
404	114	19
405	114	19
406	114	18
407	115	18
408	115	18
409	115	18
410	115	17
411	116	17
412	116	17
413	116	16
414	116	16
415	117	16
416	117	16
417	117	15
418	117	15
419	118	15
420	118	14
421	118	14
422	118	14
423	119	14
424	119	13
425	119	13
426	120	13
427	120	12
428	120	12
429	120	12
430	121	12
431	121	11
432	121	11
433	121	11
434	122	10
435	122	10
436	122	10
437	122	10
438	123	9
439	123	9
440	123	9
441	123	8
442	124	8
443	124	8
444	124	8
445	124	7
446	125	7
447	125	7
448	125	6
449	125	6
450	126	6
451	126	6
452	126	5
453	126	5
454	127	5
455	127	5
456	127	4
457	127	4
458	128	4
459	128	3
460	128	3
461	128	3
462	129	3
463	129	2
464	129	2
465	130	2
466	130	1
467	130	1
468	130	1
469	131	1
470	131	0
471	131	0
472	131	0
473	132	0
